ijs 0.35-3
imagemagick 7.1.0.30-1
imath 3.1.5-1
imlib2 1.8.1-1
incron 0.5.12-4
inetutils 2.2-1
iniparser 4.1-4
intel-gmmlib 22.1.2-1
intel-media-driver 22.3.1-1
intel-media-sdk 22.3.0-1
intel-ucode 20220207-1
intltool 0.51.0-6
iotop 0.6-9
iproute2 5.17.0-2
iptables 1:1.8.7-1
iptraf-ng 1.2.1-1
iputils 20211215-1
iscan 2.30.4.2-3
iscan-plugin-gt-f500 1.0.0-4
iso-codes 4.9.0-1
isync 1.4.4-1
iw 5.16-1
iwd 1.26-1
jack2 1.9.21-1
jansson 2.14-1
jasper 2.0.33-1
java-commons-lang 3.12.0-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 18-2
jemalloc 1:5.2.1-6
jfsutils 1.1.15-8
jq 1.6-4
jre-openjdk 18-2
jre-openjdk-headless 18-2
js52 52.9.0-4
js60 60.9.0-2
js68 68.12.0-1
js78 78.15.0-4
json-c 0.15-3
json-glib 1.6.6-2
jsoncpp 1.9.5-1
jump 0.41.0-1
karchive 5.93.0-1
kbd 2.4.0-2
kconfig 5.93.0-1
kcoreaddons 5.93.0-1
keepassxc 2.7.1-1
keyutils 1.6.3-1
kmod 29-3
knotifications 5.93.0-1
krb5 1.19.3-1
kwindowsystem 5.93.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2
ladspa 1.17-1
lame 3.100-3
languagetool 5.6-1
lapack 3.10.1-1
lastpass-cli 1.3.3-2
lcms2 2.13.1-1
ldb 2:2.5.0-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
libabw 0.1.3-2
libaio 0.3.112-3
libao 1.2.2-5
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.6.1-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4
libavif 0.9.3-1
libb64 1.2.1-4
libblockdev 2.26-3
libbluray 1.3.0-2
libbpf 0.7.0-1
