libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2266+eb6e7bb6-1
libzen 0.4.39-1
libzmf 0.0.2-11
licenses 20200427-1
lilv 0.24.12-4
linux 5.15.13.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20211027.1d00989-1
linux-headers 5.15.13.arch1-1
linux-zen 5.15.13.zen1-1
linux-zen-headers 5.15.13.zen1-1
llvm-libs 13.0.0-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.18.1-1
lohit-fonts 2.95.5.1-2
lpsolve 5.5.2.11-1
lshw B.02.19.2-4
lsof 4.94.0-1
lua 5.4.3-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.0.5-3
luit 20210218-1
lv2 1.18.2-1
lvm2 2.03.14-2
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxmenu-data 0.1.5-3
lynx 2.8.9-4
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.13-1
md4c 0.4.8-1
mdadm 4.1-2
mediainfo 21.09-1
menu-cache 1.1.0-2
mesa 21.3.3-2
mesa-demos 8.4.0-6
meson 0.61.0-1
metis 5.1.0.p10-2
mimeo 2021.11-3
minizip 1:1.2.11-5
mkinitcpio 31-2
mkinitcpio-busybox 1.34.1-1
mlocate 0.26.git.20170220-7
mlt 7.4.0-2
moar 1.8.4-1
mobile-broadband-provider-info 20210805-1
mono 6.12.0.122-1
mono-addins 1.3.3-3
moreutils 0.67-1
mozilla-common 1.4-6
mpfr 4.1.0.p13-1
mpg123 1.29.3-1
mpv 1:0.34.1-1
msgpack-c 4.0.0-1
msmtp 1.8.19-1
msmtp-mta 1.8.19-1
mtdev 1.1.6-1
mujs 1.2.0-1
mypaint-brushes1 1.3.1-1
nano 6.0-1
nasm 2.15.05-1
ncdu 1.16-2
ncurses 6.3-1
ndctl 72-1
neofetch 7.1.0-2
neomutt 20211029-1
neon 0.32.1-1
neovim 0.6.1-1
net-snmp 5.9.1-3
netctl 1.26-1
netpbm 10.73.37-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.32.12-2
nftables 1:1.0.1-3
ninja 1.10.2-1
nm-connection-editor 1.24.0-1
nnn 4.4-1
node-gyp 8.4.1-1
nodejs 17.3.0-1
nodejs-nopt 5.0.0-2
nomacs 1:3.17.2206-6
notmuch-runtime 0.34.2-1
noto-fonts-cjk 20211026-1
npm 8.3.0-1
npth 1.6-3
nspr 4.33-1
nss 3.74-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numactl 2.0.14-1
obconf 2.0.4-7
obmenu-generator 0.90-2
offlineimap 8.0.0-2
oniguruma 6.9.7.1-1
openal 1.21.1-2
openbox 3.6.1-8
openbox-themes 1.0.2-4
opencore-amr 0.1.5-5
opencv 4.5.5-1
opendoas 6.8.1-3
openexr 3.1.3-1
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openresolv 3.12.0-1
openshot 2.6.1-5
openssh 8.8p1-1
openssl 1.1.1.m-1
opera 82.0.4227.43-1
opus 1.3.1-2
opusfile 0.12-1
orc 0.4.32-1
