libmodplug 0.8.9.0-3
libmpc 1.2.1-2
libmpeg2 0.5.1-7
libmspack 1:0.10.1alpha-3
libmspub 0.1.4-12
libmtp 1.1.19-1
libmwaw 0.3.21-2
libmypaint 1.6.1-1
libnatpmp 20150609-3
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnewt 0.52.21-8
libnfnetlink 1.0.2-1
libnftnl 1.2.2-1
libnghttp2 1.47.0-1
libnl 3.6.0-3
libnm 1.38.0-1
libnma 1.8.40-1
libnma-common 1.8.40-1
libnotify 0.7.12-1
libnsl 2.0.0-2
libnumbertext 1.0.10-1
libodfgen 0.1.8-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3
libopenaptx 0.2.0-1
libopenshot 0.2.7-12
libopenshot-audio 0.2.2-1
liborcus 0.17.2-2
libp11-kit 0.24.1-1
libpagemaker 0.0.4-3
libpaper 1.1.28-2
libpcap 1.10.1-2
libpciaccess 0.16-3
libpgm 5.3.128-2
libpipeline 1.5.6-1
libplacebo 4.192.1-3
libpng 1.6.37-3
libproxy 0.4.17-7
libpsl 0.21.1-1
libpulse 16.0-1
libpwquality 1.4.4-5
libqxp 0.0.2-8
libraqm 0.9.0-1
libraw 0.20.2-2
libraw1394 2.1.2-3
libreoffice-fresh 7.3.4-2
libreoffice-fresh-en-gb 7.3.4-1
librevenge 0.0.4-4
librsvg 2:2.54.4-1
libsamplerate 0.2.2-1
libsasl 2.1.28-1
libseccomp 2.5.4-1
libsecret 0.20.5-2
libshout 1:2.4.6-1
libsidplay 1.36.59-10
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-3
libsndfile 1.1.0-2
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.6-1
libsoxr 0.1.3-2
libspiro 1:20200505-2
libssh 0.9.6-1
libssh2 1.10.0-1
libstaroffice 0.0.7-2
libstatgrab 0.92.1-1
libstdc++5-bin 3.3.6-32
libstemmer 2.2.0-2
libsynctex 2022.62885-1
libsysprof-capture 3.44.0-1
libtasn1 4.18.0-1
libteam 1.31-5
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5
libtiff 4.4.0-1
libtirpc 1.3.2-1
libtommath 1.2.0-3
libtool 2.4.7-2
libunistring 1.0-1
libunwind 1.6.2-1
liburcu 0.13.1-1
libusb 1.0.26-1
libutempter 1.2.1-3
libutf8proc 2.7.0-2
libuv 1.43.0-1
libva 2.14.0-1
libva-mesa-driver 22.1.1-2
libvdpau 1.5-1
libverto 0.3.2-4
libvisio 0.1.7-7
libvisual 0.4.0-8
libvorbis 1.3.7-3
libvpx 1.11.0-2
libvterm01 0.1.4-2
libwacom 2.2.0-1
libwebp 1.2.2-1
libwmf 0.2.12-2
libwpd 0.10.3-3
libwpe 1.12.0-2
libwpg 0.3.3-3
libwps 0.4.12-1
libx11 1.8.1-2
libxau 1.0.9-4
libxaw 1.0.14-1
libxcb 1.15-1
libxcomposite 0.4.5-4
libxcrypt 4.4.28-2
libxcursor 1.2.1-1
libxcvt 0.1.1-1
libxdamage 1.1.5-4
libxdmcp 1.1.3-4
libxext 1.3.4-4
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-4
libxkbcommon 1.4.1-1
libxkbcommon-x11 1.4.1-1
libxkbfile 1.1.0-3
libxml2 2.9.14-1
libxmu 1.1.3-3
libxnvctrl 515.48.07-1
libxpm 3.5.13-3
libxrandr 1.5.2-4
libxrender 0.9.10-5
libxshmfence 1.3-3
libxslt 1.1.35-1
libxss 1.2.3-4
libxt 1.2.1-1
libxtst 1.2.3-5
libxv 1.0.11-5
libxvmc 1.0.13-1
libxxf86vm 1.1.4-5
libyaml 0.2.5-1
libyuv r2322+3aebf69d-1
libzen 0.4.39-1
libzip 1.8.0-1
libzmf 0.0.2-12
licenses 20220125-1
lilv 0.24.14-2
linux 5.18.3.arch1-1
linux-api-headers 5.17.5-2
linux-firmware 20220509.b19cbdc-1
linux-firmware-whence 20220509.b19cbdc-1
linux-headers 5.18.3.arch1-1
llvm-libs 13.0.1-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lohit-fonts 2.95.5.1-2
lpsolve 5.5.2.11-1
lsd 0.22.0-1
lshw B.02.19.2-4
lsof 4.95.0-1
lua 5.4.4-1
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lpeg 1.0.2-4
luajit 2.1.0.beta3.r411.g68bb1140-1
luit 20220111-1
lv2 1.18.4-2
lvm2 2.03.16-1
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxmenu-data 0.1.5-3
lynx 2.8.9-5
lz4 1:1.9.3-2
lzo 2.10-3
mailcap 2.1.53-1
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
mbedtls 2.28.0-1
mbrola 1:3.3-1
mbrola-voices-en1 1:15.6fa9693-1
mbrola-voices-us1 1:15.6fa9693-1
md4c 0.4.8-1
mdadm 4.2-2
mediainfo 22.03-1
menu-cache 1.1.0-3
mercurial 6.1.3-1
mesa 22.1.1-2
mesa-utils 8.5.0-1
meson 0.62.2-1
metis 5.1.0.p10-2
miniupnpc 2.2.3-1
minizip 1:1.2.12-2
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mlocate 0.26.git.20170220-7
mlt 7.6.0-2
moar 1.9.4-1
mobile-broadband-provider-info 20220511-1
mono 6.12.0.177-1
mono-addins 1.3.3-3
mpfr 4.1.0.p13-2
mpg123 1.29.3-2
mpv 1:0.34.1-4
msgpack-c 4.0.0-1
msmtp 1.8.20-1
msmtp-mta 1.8.20-1
mtdev 1.1.6-2
mujs 1.2.0-2
mypaint 2.0.1-2
mypaint-brushes 2.0.2-1
mypaint-brushes1 1.3.1-1
mythes-en 20060306-6
nano 6.3-1
nano-syntax-highlighting 2020.10.10-1
ncdu 2.1.2-1
ncurses 6.3-3
ndctl 73-1
neofetch 7.1.0-2
neomutt 20220429-1
neon 0.32.2-1
neovim 0.7.0-3
net-snmp 5.9.1-4
netpbm 10.73.37-1
nettle 3.8-1
network-manager-applet 1.28.0-1
networkmanager 1.38.0-1
nftables 1:1.0.4-1
ninja 1.11.0-1
nm-connection-editor 1.28.0-1
nnn 4.5-1
node-gyp 9.0.0-1
nodejs 18.3.0-1
nodejs-nopt 5.0.0-2
nomacs 1:3.17.2206-8
nordvpn-bin 3.14.0-1
notmuch-runtime 0.36-1
noto-fonts-cjk 20220126-1
npm 8.5.5-1
npth 1.6-3
nspr 4.34-1
nss 3.79-1
ntfs-3g 2022.5.17-1
ntp 4.2.8.p15-1
numactl 2.0.14-3
obconf 2.0.4-7
obmenu-generator 0.90-2
obs-studio 27.2.4-1
oniguruma 6.9.8-1
openal 1.22.0-1
openbox 3.6.1-8
openbox-themes 1.0.2-4
openbsd-netcat 1.218_5-1
opencore-amr 0.1.5-5
opencv 4.6.0-3
opendoas 6.8.2-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-1
openpmix 4.1.2-1
openshot 2.6.1-5
openssh 9.0p1-1
openssl 1.1.1.o-1
opus 1.3.1-3
opusfile 0.12-2
orc 0.4.32-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacfinder 1.2-1
pacman 6.0.1-5
pacman-contrib 1.5.3-1
pacman-mirrorlist 20220605-1
pacutils 0.11.1-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pandoc 2.17.1.1-48
pango 1:1.50.7-1
pangomm 2.46.2-1
parted 3.5-1
pass 1.7.4-2
patch 2.7.6-8
pavucontrol 1:5.0+r35+g964f298-1
pcaudiolib 1.2-2
pciutils 3.8.0-2
pcmanfm 1.3.2-1
pcre 8.45-1
pcre2 10.40-1
pcsclite 1.9.8-1
pdfsam 4.3.0-1
pdftk 3.3.2-2
peek 1.5.1-3
perl 5.36.0-1
perl-alien-build 2.48-3
perl-alien-libxml2 0.17-3
perl-cairo-gobject 1.004-12
perl-capture-tiny 0.48-6
perl-clone 0.45-4
perl-clone-pp 1.07-1
perl-common-sense 3.75-4
perl-data-dump 1.25-3
perl-data-printer 1.000004-1
perl-dbi 1.643-4
perl-dist-checkconflicts 0.11-8
perl-encode-locale 1.05-9
perl-error 0.17029-4
perl-exporter-tiny 1.002002-4
perl-ffi-checklib 0.28-3
perl-file-chdir 0.1011-4
perl-file-homedir 1.006-3
perl-file-listing 6.15-2
perl-file-which 1.27-2
perl-glib-object-introspection 0.049-3
perl-gtk3 0.038-2
perl-html-parser 3.78-2
perl-html-tagset 3.20-12
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-5
perl-http-message 6.36-2
perl-http-negotiate 6.01-10
perl-image-exiftool 12.42-1
perl-inc-latest 0.500-9
perl-io-html 1.004-3
perl-io-socket-ssl 2.074-3
perl-json 4.06-1
perl-json-parse 0.61-1
perl-json-xs 4.03-3
perl-lchown 1.01-14
perl-libwww 6.60-2
perl-linux-desktopfiles 0.25-2
perl-list-moreutils 0.430-3
perl-list-moreutils-xs 0.430-3
perl-log-message 0.08-8
perl-log-message-simple 0.10-8
perl-lwp-mediatypes 6.04-2
perl-lwp-protocol-https 6.10-3
perl-mailtools 2.21-6
